               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083072,            0.025237,                   0,               0.762,             0.44949,             0.62321,             0.20384,            0.059477,            0.015711,                   0,            0.070294,           0.0033007,           0.0033007
                   1,            0.057673,            0.017694,                   0,             0.61499,             0.49754,             0.62663,             0.31837,            0.059803,            0.011607,                   0,            0.039637,           0.0059772,           0.0059772
                   2,             0.05298,             0.01435,                   0,             0.58293,             0.85222,             0.70231,             0.34086,            0.044089,            0.010795,                   0,           0.0083206,           0.0079938,           0.0079938
                   3,            0.045883,            0.012273,                   0,             0.85625,             0.91872,             0.93673,             0.44146,             0.03934,           0.0093214,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.040519,            0.010517,                   0,             0.93013,             0.94828,             0.97615,             0.57828,            0.030161,           0.0082734,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.035783,           0.0092515,                   0,             0.97813,              0.9532,             0.99103,             0.59007,            0.030189,           0.0076774,                   0,             0.00604,             0.00604,             0.00604
                   6,             0.03241,           0.0087542,                   0,             0.98247,             0.96628,             0.99152,             0.63835,            0.027257,           0.0070105,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.029607,            0.007969,                   0,              0.9865,             0.99261,             0.99432,             0.66351,            0.024924,            0.006673,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.027337,           0.0080021,                   0,             0.98535,             0.99377,             0.99359,             0.67965,            0.024789,           0.0063275,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.024807,           0.0073507,                   0,             0.98063,             0.99731,             0.99437,             0.69271,            0.023196,           0.0062746,                   0,             0.00208,             0.00208,             0.00208
