               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062749,            0.017616,                   0,             0.13829,             0.72575,             0.19672,            0.056598,            0.066306,            0.075891,                   0,            0.070294,           0.0033007,           0.0033007
                   1,            0.050163,            0.012998,                   0,              0.5173,             0.48768,             0.46314,             0.19138,            0.057832,             0.04962,                   0,            0.039966,           0.0063056,           0.0063056
                   2,            0.047485,            0.012648,                   0,             0.71816,             0.58374,             0.66582,             0.29396,            0.050057,            0.023539,                   0,           0.0093074,           0.0089806,           0.0089806
                   3,            0.046376,            0.012559,                   0,             0.82967,             0.54926,             0.66294,             0.35245,            0.048986,            0.015108,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.041898,            0.012096,                   0,             0.82954,             0.70443,             0.81838,             0.47479,            0.038196,             0.01334,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.042285,            0.011575,                   0,             0.65103,             0.48708,             0.49169,             0.24211,            0.055231,            0.014697,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.039197,            0.011348,                   0,               0.884,             0.82592,              0.9132,             0.54469,            0.031866,           0.0098575,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.037399,             0.01061,                   0,             0.83678,             0.81773,              0.8747,             0.47173,            0.036931,            0.010228,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.036917,            0.011047,                   0,             0.89407,             0.81072,             0.89043,             0.52709,            0.033942,           0.0095582,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.036308,            0.010373,                   0,             0.90282,             0.83005,              0.9068,              0.5209,            0.035521,           0.0092862,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.034245,            0.010014,                   0,             0.87541,               0.867,             0.92429,             0.58511,            0.031493,           0.0087925,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.032782,            0.010027,                   0,             0.91437,             0.86788,             0.93353,             0.56532,            0.031298,           0.0093372,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.031855,           0.0093173,                   0,             0.87465,             0.84217,             0.89955,             0.52737,              0.0331,           0.0097356,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.031376,           0.0095293,                   0,             0.93118,             0.89987,             0.95639,             0.61811,            0.029112,           0.0080466,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.030282,           0.0088876,                   0,             0.92385,             0.89651,             0.94998,             0.61614,            0.029308,           0.0080113,                   0,            0.003565,            0.003565,            0.003565
                  15,             0.02959,            0.008872,                   0,             0.93647,             0.90394,             0.96094,             0.61872,            0.027603,           0.0081957,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.027823,           0.0084552,                   0,             0.96372,             0.91594,             0.97713,             0.66101,            0.026149,           0.0075008,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.027746,            0.008404,                   0,             0.96098,             0.95567,             0.98024,             0.67487,            0.025427,           0.0070953,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.026966,           0.0081858,                   0,             0.97234,             0.94828,             0.98509,             0.67316,            0.025113,           0.0070746,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.025121,           0.0077837,                   0,             0.98242,             0.94581,             0.99027,             0.67442,            0.024997,           0.0069183,                   0,             0.00109,             0.00109,             0.00109
